imdbId,title,releaseYear
tt0349115,Baaz: A Bird in Danger,2003
tt0349333,Darna Mana Hai,2003
tt0349620,Inteqam: The Perfect Game,2004
tt0349679,Khwahish,2003
tt0349703,Kyun! Ho Gaya Na...,2004
tt0352314,Ek Hasina Thi,2004
tt0352489,Kash... Aap Hamare Hote,2003
tt0352830,Sssshhh...,2003
tt0353351,Dhund: The Fog,2003
tt0354538,Ek Aur Ek Gyarah: By Hook or by Crook,2003
tt0354786,Oops!,2003
tt0356982,Paanch,2003
tt0357208,Stumped,2003
tt0358613,Om,2003
tt0362204,Supari,2003
tt0362696,Haasil,2003
tt0362771,Ishq Vishk,2003
tt0362902,Nayee Padosan,2003
tt0363409,Aan: Men at Work,2004
tt0363472,Bewafaa,2005
tt0363721,Joggers' Park,2003
tt0363833,Mumbai Se Aaya Mera Dost,2003
tt0364303,Dev,2004
tt0364604,Plan,2004
tt0364621,Qayamat: City Under Threat,2003
tt0366276,Calcutta Mail,2003
tt0366630,Janasheen,2003
tt0366658,Kaise Kahoon Ke... Pyaar Hai,2003
tt0366761,Meenaxi: Tale of 3 Cities,2004
tt0366880,Parwana,2003
tt0366985,Rudraksh,2004
tt0367110,Swades,2004
tt0368580,Asambhav,2004
tt0368683,Desh,2002
tt0368811,Jajantaram Mamantaram,2003
tt0369516,Hawa,2003
tt0369637,Kuch Naa Kaho,2003
tt0371735,Hungama,2003
tt0371775,Khel,2003
tt0371922,Saaya,2003
tt0373856,Gangaajal,2003
tt0373970,Khanjar,2003
tt0373972,Khullam Khulla Pyaar Karen,2005
tt0374271,Tere Naam,2003
tt0374660,Footpath,2003
tt0374848,Main Madhuri Dixit Banna Chahti Hoon!,2003
tt0374887,Munnabhai M.B.B.S.,2003
tt0375611,Black,2005
tt0375733,Encounter: The Killing,2002
tt0377126,Basti,2003
tt0377131,Raghu Romeo,2003
tt0377340,Aetbaar,2004
tt0378025,Hawayein,2003
tt0378072,Hum Tum,2004
tt0378157,Kagaar: Life on the Edge,2003
tt0379818,I Proud to Be an Indian,2004
tt0380337,Ek Din 24 Ghante,2003
tt0381090,Chupke Se,2003
tt0381408,Market,2003
tt0382176,Master,2001
tt0382188,Mumbai Matinee,2003
tt0382383,Yuva,2004
tt0382385,Zameen,2003
tt0383719,Xcuse Me,2003
tt0384491,Samay: When Time Strikes,2003
tt0385351,Yeh Lamhe Judaai Ke,2004
tt0385564,Border Hindustan Ka,2003
tt0385782,Inteha,2003
tt0385982,Raja Bhaiya,2003
tt0386121,Woh Tera Naam Tha,2004
tt0387164,Dhoop,2003
tt0387325,Jodi Kya Banayi Wah Wah Ramji,2003
tt0387486,Patth,2003
tt0387678,Waisa Bhi Hota Hai Part II,2003
tt0387989,Deewaar: Let's Bring Our Heroes Home,2004
tt0388315,Out of Control,2003
tt0389726,Aanch,2003
tt0390532,Taj Mahal: A Monument of Love,2003
tt0390614,Waqt: The Race Against Time,2005
tt0391079,Dil Pardesi Ho Gayaa,2003
tt0391099,Duplicate Sholay,2002
tt0391165,Fun2shh... Dudes in the 10th Century,2003
tt0391187,Ghaav: The Wound,2002
tt0391274,Kismat,2004
tt0392625,Pratha,2002
tt0392950,Ishq Hai Tumse,2004
tt0392951,Mudda: The Issue,2003
tt0396044,Hadh: Life on the Edge of Death,2001
tt0396057,Hum Pyar Tumhi Se Kar Baithe,2002
tt0396690,Kisna: The Warrior Poet,2005
tt0396782,Paisa Vasool,2004
tt0397882,Ab Tumhare Hawale Watan Saathiyo,2004
tt0401532,Jaago,2004
tt0402014,Ab Tak Chhappan,2004
tt0402606,Suno Sasurjee,2004
tt0402607,Tum: A Dangerous Obsession,2004
tt0403935,Action Jackson,2014
tt0405024,Hum Kaun Hai?,2004
tt0405046,Insaaf: The Justice,2004
tt0405266,Raincoat,2004
tt0405507,Murder,2004
tt0405508,Rang De Basanti,2006
tt0406977,Masti,2004
tt0408837,Hawas,2004
tt0408976,Krishna Cottage,2004
tt0409068,Muskaan,2004
tt0409527,Shabd,2005
tt0409724,Bardaasht,2004
tt0410591,Shart: The Challenge,2004
